Source_Borough,Drop_Borough,Date,Hour,Trip_Distance,Duration,Count_of_rides,tip_amount,total_amount
Queens,Bronx,1/5/18,11,16.205,30.02291667,8,2.35,51.91
Bronx,Bronx,1/14/18,18,1.6625,69.90277778,10,0.418,21.17633333
Manhattan,EWR,1/12/18,8,16.68072917,39.415625,23,12.89432292,94.08026042
Unknown,Brooklyn,1/26/18,9,1.81,24.5,2,3.755,20.305
Unknown,Staten Island,1/1/18,3,0,1.516666667,1,9,12.8
Manhattan,Unknown,1/26/18,13,9.283777778,17.29125926,24,1.927666667,37.607
Queens,Bronx,1/30/18,7,14.79181818,52.97878788,11,4.005454545,57.58727273
Bronx,Manhattan,1/9/18,1,1.97,9.458333333,2,0,10.55
Unknown,Unknown,1/22/18,16,0.806012012,3.984234234,189,1.897627628,88.03695495
Manhattan,Bronx,1/25/18,13,9.182666667,27.51777778,30,2.627666667,33.36766667
Bronx,Manhattan,1/19/18,17,2.946,20.39666667,5,0,16.6
Unknown,Manhattan,1/30/18,2,2.133333333,9.655555556,3,0.683333333,12.98333333
Bronx,Bronx,1/9/18,23,1.358,6.693333333,5,0,8.2
Manhattan,Bronx,1/25/18,15,9.667954545,44.96792929,25,1.561363636,38.13212121
Bronx,Manhattan,1/26/18,6,2.2275,8.958333333,4,0,10.3
Unknown,Unknown,1/28/18,23,1.930170455,7.412784091,92,12.92329545,77.28431818
Unknown,EWR,1/22/18,6,5.675,6.833333333,2,0,109.55
Brooklyn,Queens,1/6/18,9,8.798333333,17.41111111,6,4.776666667,31.985
Bronx,Queens,1/21/18,2,9,18.2,1,0,33.56
Queens,Bronx,1/31/18,1,18.436,29.37,5,3.352,60.212
Brooklyn,Bronx,1/1/18,1,19.275,39.76666667,4,4.6225,64.4925
Queens,Staten Island,1/1/18,7,22.945,31.55833333,2,6.48,79.05
Unknown,Brooklyn,1/30/18,15,9.8,28.875,2,0,32.8
Manhattan,Bronx,12/31/17,21,12.3,31.53333333,1,0,36.8
Queens,EWR,1/11/18,16,37.26,108.9833333,1,0,154.82
EWR,EWR,1/19/18,10,0,0.4,1,23.08,115.38
Brooklyn,Queens,1/14/18,17,4.1,16.63333333,1,2.45,18.75
Queens,Unknown,1/17/18,2,14.92,22.98333333,2,5,51.68
Bronx,Brooklyn,1/27/18,17,11,48.73333333,1,8.05,48.35
Unknown,Queens,1/23/18,10,0,0.15,1,0,52.8
Unknown,Queens,1/29/18,10,5.6,12.35,1,2.75,21.05
Manhattan,EWR,1/12/18,23,19.2,32.06666667,1,0,80.8
Unknown,Queens,1/12/18,5,0.00375,0.039583333,5,3.17,44.345
Brooklyn,Bronx,1/30/18,23,17.64,34.1,1,0,50.3
Unknown,EWR,1/11/18,7,15.8,24.93333333,1,18.65,93.35
Brooklyn,Bronx,1/20/18,22,18.8,45.43333333,1,7,62.3
Manhattan,Brooklyn,1/1/18,3,7.550407119,36.94080973,919,3.141786834,30.72812683
Queens,Queens,1/1/18,17,5.785977221,15.55090984,244,1.710649954,21.54787866
Brooklyn,Brooklyn,1/3/18,21,2.521854768,22.33842593,178,1.241353893,13.40902668
Brooklyn,Brooklyn,1/5/18,18,2.109150672,18.11601114,211,1.544523459,13.75196155
Brooklyn,Brooklyn,1/7/18,16,2.277482079,13.82964456,118,1.427643369,13.59637097
Manhattan,Queens,1/7/18,19,8.90309902,34.8050817,235,3.796421569,35.30651569
Manhattan,Bronx,1/8/18,20,8.94203125,24.04401042,69,2.945390625,32.82570313
Manhattan,Brooklyn,1/10/18,13,6.376678571,57.39595238,162,3.138452381,28.81807143
Manhattan,Queens,1/11/18,12,10.60286815,43.89534168,487,4.831640705,43.21959763
Queens,Manhattan,1/12/18,8,11.4514234,57.40507056,411,6.008409725,49.07604775
Queens,Manhattan,1/13/18,8,11.30782426,27.15185784,234,4.625261338,41.4873989
Brooklyn,Brooklyn,1/14/18,19,2.467395833,11.76543403,106,1.229010417,13.37705208
Queens,Brooklyn,1/20/18,14,12.98143478,37.55519755,97,4.628826605,44.41319513
Manhattan,Manhattan,1/20/18,19,2.893478602,18.282804,16662,1.852641417,15.87217298
Queens,Queens,1/21/18,17,6.193522876,16.89186576,204,1.916964396,23.86824372
Queens,Manhattan,1/21/18,22,13.56888536,25.29653777,680,6.96048067,50.8739758
Manhattan,Bronx,1/26/18,12,8.498846154,26.57179487,26,2.751153846,32.18423077
Manhattan,Manhattan,1/26/18,15,2.642408507,22.13483328,14950,1.793251385,16.06092501
Manhattan,Brooklyn,1/26/18,17,6.216383994,41.26938326,278,3.668303965,31.25732012
Manhattan,EWR,1/26/18,20,19.91714286,36.19047619,7,10.80857143,99.14571429
Brooklyn,Manhattan,1/29/18,22,5.443,16.99222222,17,3.462666667,23.22933333
Manhattan,Queens,1/24/18,3,8.104544674,20.00892039,123,2.426597938,29.87828179
Manhattan,Manhattan,1/27/18,0,3.040579504,15.16299413,12530,1.870456906,15.58602392
Queens,Brooklyn,1/1/18,20,13.03271319,25.27974254,158,5.361049953,44.28171757
Queens,Manhattan,1/6/18,2,16.91630845,28.77242848,250,6.73009178,57.96686763
Manhattan,Queens,1/13/18,20,7.970780896,27.48424036,217,3.096228741,32.50028203
Bronx,Bronx,1/14/18,10,2.7628125,12.80104167,11,0.766875,13.504375
Queens,Manhattan,1/20/18,1,12.621625,23.52375,43,5.79875,46.365
Manhattan,Queens,1/20/18,10,10.18969179,37.86004442,195,4.705191568,39.8111837
Manhattan,Brooklyn,1/30/18,16,6.381632184,44.62512452,171,3.185155172,30.84398276
Brooklyn,Brooklyn,1/10/18,8,1.847449217,20.01419136,128,1.069172494,11.9741342
Queens,Manhattan,1/14/18,1,13.57433333,27.4250907,60,4.660455782,47.34004762
Manhattan,EWR,1/16/18,6,17.09845833,31.28975694,27,14.95791667,94.70875
Manhattan,Staten Island,1/19/18,0,18.24333333,31.82777778,3,8.266666667,73.17333333
Manhattan,Bronx,1/25/18,9,7.867666667,25.78277778,30,2.261333333,29.949
Manhattan,Bronx,1/7/18,7,6.910555556,19.41882716,28,1.231481481,25.49185185
Brooklyn,Brooklyn,1/9/18,7,2.347369963,13.30289988,130,1.191787546,13.5467326
Unknown,Queens,1/17/18,10,0,41.40555556,4,7.686666667,63.72
Queens,Brooklyn,1/30/18,13,12.93144309,64.70558943,59,4.671585366,44.02239837
Manhattan,Unknown,1/18/18,12,4.323571429,18.74880952,16,3.207857143,37.28214286
Manhattan,EWR,1/7/18,2,18.045,32.03333333,2,7.58,88.08
Queens,Queens,1/17/18,7,4.780387859,34.76774206,207,1.356806887,20.8612698
Queens,EWR,1/27/18,19,22.8,51.15,1,5,99.8
Manhattan,Bronx,1/27/18,21,9.242794118,24.64375,71,1.73,32.12382353
Manhattan,EWR,1/24/18,14,16.97069421,39.11154796,64,10.4874188,90.94168281
Unknown,Manhattan,1/26/18,14,1.870952381,13.0360119,40,2.321607143,18.44172619
Manhattan,Brooklyn,1/5/18,13,6.165644068,27.40514124,142,2.991182203,28.21419068
Unknown,Manhattan,1/22/18,0,1.451428571,5.947619048,16,5.8925,38.13892857
Unknown,Queens,1/30/18,16,4.366666667,13.31111111,3,5.586666667,42.47333333
Manhattan,Bronx,1/29/18,20,9.262571429,21.64154762,77,3.2075,32.86892857
Unknown,Manhattan,1/14/18,17,1.540757576,9.473611111,48,2.673409091,20.28578283
Queens,Unknown,1/27/18,17,14.59666667,22.91944444,12,10.97020833,96.525625
Queens,Unknown,1/12/18,21,18.59249158,35.42621352,28,13.9975463,112.6391667
Unknown,Manhattan,1/29/18,9,1.62047619,10.6121164,42,1.572896825,12.13648413
